P_Pa,T_K,rho_kg_m3,u_m_s,M,a_m_s,A_m2,A_over_Astar,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR
2.000000000000360236e+07,3.679014440812442444e+03,8.765597359699295765e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.616837788677135904e+03,nan,nan,3.824604371494102345e-02,2.345257400298459208e-03,3.462191971669574542e-03,6.903768726773426394e-03,5.586317691609262587e-02,8.930162769184176730e-01,1.115198000265184763e-04,5.176455178072455354e-05,0.000000000000000000e+00
1.999999980000360310e+07,3.679014437127761994e+03,8.765597282252775457e+00,3.184119843678325235e-01,1.969350214112018562e-04,1.616837787845696766e+03,1.626129263627502723e+02,3.025448082520888420e+03,3.824604370125792713e-02,2.345257393668574199e-03,3.462191950383591583e-03,6.903768690241250672e-03,5.586317669869789171e-02,8.930162772157096418e-01,1.115197988280543104e-04,5.176455121317079808e-05,0.000000000000000000e+00
1.960179590174850821e+07,3.671043325111442755e+03,8.613075681374684933e+00,3.027467157244605573e+02,1.874879515512557215e-01,1.614752911958159757e+03,1.740557123131272199e-01,3.238343548992212995e+00,3.821431304114723121e-02,2.328996621273823030e-03,3.411270125773569178e-03,6.815660125186155140e-03,5.535432131191991151e-02,8.937159946604305016e-01,1.088865264876594458e-04,5.055758778110077306e-05,0.000000000000000000e+00
1.921152032080196962e+07,3.663086658772130704e+03,8.463204712389686080e+00,4.278748868806010250e+02,2.653203943743849269e-01,1.612672436619556493e+03,1.253355702842108566e-01,2.331894943838180634e+00,3.818276044235351108e-02,2.312760620232604935e-03,3.360770451987300355e-03,6.727976421149426192e-03,5.484698392478321027e-02,8.944130687273779134e-01,1.063043901661307988e-04,4.937502194994495484e-05,0.000000000000000000e+00
1.882901520281942561e+07,3.655144270009052889e+03,8.315938622299345440e+00,5.237029388076077794e+02,3.251608897213780769e-01,1.610596339726943143e+03,1.042148717603726821e-01,1.938939855459146155e+00,3.815138718243556853e-02,2.296549550252651763e-03,3.310693168246268449e-03,6.640723338152033570e-03,5.434117768252529762e-02,8.951074800538014742e-01,1.037726000564766703e-04,4.821642453021800039e-05,0.000000000000000000e+00
1.845412583636723831e+07,3.647215990792367393e+03,8.171232440400382657e+00,6.043341367393735482e+02,3.757071148540189753e-01,1.608524600270579413e+03,9.190968830539657242e-02,1.709999299984011456e+00,3.812019453770414817e-02,2.280363573544800723e-03,3.261038493799441832e-03,6.553906616655624101e-03,5.383691581387665265e-02,8.957992092152965435e-01,1.012903760214162483e-04,4.708137310139651064e-05,0.000000000000000000e+00
1.808670059034647420e+07,3.639301653145093496e+03,8.029041965102472034e+00,6.752351319724295990e+02,4.203256286782514617e-01,1.606457198662289557e+03,8.371576046077959521e-02,1.557549529597924476e+00,3.808918378283793205e-02,2.264202854837757319e-03,3.211806627421506886e-03,6.467531975753878191e-03,5.333421163004699317e-02,8.964882367297065668e-01,9.885694748492071158e-05,4.596945191029678119e-05,0.000000000000000000e+00
1.772659085266299918e+07,3.631401089141119428e+03,7.889323750913199262e+00,7.392114649339944208e+02,4.607418210553184124e-01,1.604394112175117471e+03,7.782471022324069510e-02,1.447945286910370166e+00,3.805835619061484487e-02,2.248067561476138881e-03,3.162997747135944115e-03,6.381605111746234925e-03,5.283307852569154445e-02,8.971745430582307446e-01,9.647155333156591538e-05,4.488025177296184440e-05,0.000000000000000000e+00
1.737365097011848539e+07,3.623514130903085515e+03,7.752035095643138085e+00,7.979308751325025924e+02,4.979799576520483884e-01,1.602335320671756335e+03,7.337447122239151853e-02,1.365147643739962113e+00,3.802771303163066108e-02,2.231957863517248283e-03,3.114612009923029955e-03,6.296131696670121715e-03,5.233352997978518717e-02,8.978581086066893535e-01,9.413344180654798551e-05,4.381336997783386700e-05,0.000000000000000000e+00
1.702773818949818611e+07,3.615640610600827586e+03,7.617134027823210474e+00,8.524807135798591844e+02,5.327069545029481379e-01,1.600280804246833441e+03,6.989559802245451370e-02,1.300422467903671997e+00,3.799725557401089499e-02,2.215873933830772840e-03,3.066649551424468871e-03,6.211117376809269057e-03,5.183557955649044369e-02,8.985389137268272597e-01,9.184187041668962891e-05,4.276841019026603890e-05,0.000000000000000000e+00
