P_Pa,T_K,rho_kg_m3,u_m_s,M,a_m_s,A_m2,A_over_Astar,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR
2.000000000000360236e+07,3.679014445449194227e+03,9.163575836700863064e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.607055705687856744e+03,nan,nan,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.999999980000360310e+07,3.679014439750048041e+03,9.163575759260362830e+00,2.089284572481651392e-01,1.300069790152120000e-04,1.607055704476592837e+03,2.453611772117093039e+02,4.564996890002950749e+03,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.959536378480895609e+07,3.667381520731124965e+03,9.006658868608633739e+00,2.984602770412656128e+02,1.860050669712850213e-01,1.604581433726970090e+03,1.747503953852368730e-01,3.251268275306930633e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.919891428493579477e+07,3.655779984166605573e+03,8.852442096805535954e+00,4.217526542762249164e+02,2.632482356451061878e-01,1.602110089143404139e+03,1.258193680522104174e-01,2.340896104214921003e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.881048567243557051e+07,3.644209741729480811e+03,8.700878814827383678e+00,5.161308914483747685e+02,3.226540681191124027e-01,1.599641667179716478e+03,1.046033144270042126e-01,1.946166913893037531e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.842991567031145468e+07,3.632670705227635608e+03,8.551923201363061722e+00,5.955054004533324132e+02,3.728489153481215901e-01,1.597176164230814265e+03,9.223992099719777182e-02,1.716143349455004241e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.805704528472239897e+07,3.621162786578700889e+03,8.405530228840703444e+00,6.652689769408525535e+02,4.171714511566446126e-01,1.594713576627393195e+03,8.400517341320191955e-02,1.562934119135471978e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.769171873855922744e+07,3.609685897813779775e+03,8.261655649628025344e+00,7.281897004287408208e+02,4.573326528749716013e-01,1.592253900636781736e+03,7.808305512097406254e-02,1.452751848682297675e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.733378340636417642e+07,3.598239951081032359e+03,8.120255982473862488e+00,7.859133017068108984e+02,4.943481691207019524e-01,1.589797132463778325e+03,7.360783756316664761e-02,1.369489474146777575e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.698308975056738406e+07,3.586824858649293674e+03,7.981288499186566021e+00,8.395129510360526410e+02,5.288792713127510314e-01,1.587343268251497420e+03,7.010806956800839929e-02,1.304375546201102631e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.663949125901335478e+07,3.575440532911579794e+03,7.844711211545282836e+00,8.897346899311394282e+02,5.613849519235144525e-01,1.584892304082209876e+03,6.730245939041172576e-02,1.252176572097557061e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.630284438375127502e+07,3.564086886388563016e+03,7.710482858439789311e+00,9.371221549986150876e+02,5.921991648693603061e-01,1.582444235978186725e+03,6.501156748541155050e-02,1.209554040935525876e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.597300848106399179e+07,3.552763831732016115e+03,7.578562893235070597e+00,9.820860871966431205e+02,6.215738427447023984e-01,1.579999059902546605e+03,6.311491491068473014e-02,1.174266416367384380e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.564984575271001458e+07,3.541471281728180657e+03,7.448911471356487901e+00,1.024945855701138271e+03,6.497045773874713381e-01,1.577556771760098400e+03,6.152826689463669618e-02,1.144746492550997807e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.533322118835444748e+07,3.530209149301079378e+03,7.321489438091844271e+00,1.065955648918550196e+03,6.767468069248201434e-01,1.575117367398184570e+03,6.019076223765806172e-02,1.119861933922541075e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.502300250916461833e+07,3.518977347515866768e+03,7.196258316606217065e+00,1.105321733384946810e+03,7.028264753020707634e-01,1.572680842607538352e+03,5.905721529596671265e-02,1.098772051968524899e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.471906011254686490e+07,3.507775789581935896e+03,7.073180296166454717e+00,1.143214244185558755e+03,7.280473094887633945e-01,1.570247193123104353e+03,5.809330213403084142e-02,1.080838242567727203e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.442126701800144091e+07,3.496604388856236255e+03,6.952218220570688167e+00,1.179775486819202115e+03,7.524959400947813792e-01,1.567816414624911204e+03,5.727243591926553523e-02,1.065565852044923378e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.412949881407270022e+07,3.485463058846289641e+03,6.833335576780247500e+00,1.215125935101967343e+03,7.762455984414832200e-01,1.565388502738890338e+03,5.657367347224605963e-02,1.052565228092331218e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.384363360637290217e+07,3.474351713213346102e+03,6.716496483749718749e+00,1.249368661716333463e+03,7.993588457158712357e-01,1.562963453037731597e+03,5.598027387265262084e-02,1.041524902326630642e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.356355196665725857e+07,3.463270265775377538e+03,6.601665681451979850e+00,1.282592674845858255e+03,8.218896269296214196e-01,1.560541261041717689e+03,5.547868216275196607e-02,1.032192681876074047e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.328913688292946666e+07,3.452218630510069488e+03,6.488808520094725196e+00,1.314875474043835538e+03,8.438848432161071278e-01,1.558121922219563203e+03,5.505779766405686365e-02,1.024362036256307729e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.302027371055666544e+07,3.441196721557773799e+03,6.377890949525048647e+00,1.346285037736151480e+03,8.653855736780956542e-01,1.555705431989255430e+03,5.470843737168507026e-02,1.017862113708285055e+00,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
